"gat_ID";"gat";"gat_date";"gat_date_end";"loc_ID";"loc";"sit_ID";"site";"org_ID";"organizers";"org_spon_ID";"sponsors";"speeches"
1;"125th Meeting of Public Land Grant Universiti";"2012-11-11";"";5;"Denver, CO";0;"";0;"";0;"";1
2;"1895 Constitutional Convention";"1895-10-26";"";9;"Columbia, SC";2;"South Carolina State House";7;"SC Legislature";0;"";1
3;"2004 Socialism Conference";"2005-07-03";"";10;"Chicago, IL";0;"";0;"";0;"";1
4;"2013 Socialism Conference";"2013-06-27";"";11;"Rosemont, IL";0;"";0;"";0;"";1
5;"2014 USA Black Hat Conference";"2014-08-06";"";12;"Las Vegas, NV";0;"";8;"Black Hat Briefings";0;"";1
6;"26th Anniversary of Emancipation";"1888-04-16";"";13;"Washington, D.C.";0;"";0;"";0;"";1
7;"46th Annual Convention";"1955-00-00";"";1;"unknown";0;"";9;"National Association for the Advancement of C";0;"";1
8;"4th Anniverary of the New York City Anti-Slav";"1857-05-13";"";2;"New York City, NY";0;"";10;"New York Anti-Slavery Society";0;"";1
9;"4th Ohio Woman's Rights Conference";"1853-10-06";"";14;"Cleveland, OH";0;"";0;"";0;"";1
10;"52nd Annual Meeting";"1967-10-14";"";15;"Greensboro, NC";0;"";11;"Association for the Study of Negro Life and H";0;"";1
11;"5th National Woman's Rights Convention";"1854-10-18";"";16;"Philadelphia, PA";0;"";0;"";0;"";1
12;"73rd Anniversary of the American Colonization";"1890-01-19";"";13;"Washington, D.C.";0;"";12;"American Colonization Society";0;"";1
13;"A convening of Republican delegates";"1884-05-00";"";17;"Pittsburgh, PA";0;"";0;"";0;"";1
14;"A national conference of colored men";"1879-05-06";"";18;"Nashville, TN";0;"";0;"";0;"";1
15;"Advisory Council Conference";"1917-12-07";"";13;"Washington, D.C.";3;"Cameron House";13;"National Woman's Party";0;"";1
16;"Alpha Phi Alpha's Education for Citizenship W";"1964-05-06";"";19;"Atlanta, GA";4;"Hungry Club Open Forum";0;"";14;"Alpha Phi Alpha";1
17;"American Convention for Promoting the Aboliti";"1818-12-10";"";16;"Philadelphia, PA";0;"";0;"";0;"";1
