"per_ID";"person";"loc_born_ID";"loc_born";"date_born";"date_died";"race";"gender";"disability"
1;"Aaron Henry";0;"";"";"";"";"";""
2;"Aaron Swartz";0;"";"";"";"";"";""
3;"Abraham Joshua Heschel";0;"";"";"";"";"";""
4;"Abraham Lincoln";0;"";"";"";"";"";""
5;"Adam Clayton Powell, Jr.";0;"";"";"";"";"";""
6;"Adlai Stevenson II";0;"";"";"";"";"";""
7;"Adolph Hitler";0;"";"";"";"";"";""
8;"Ahmed Zewail";0;"";"";"";"";"";""
9;"Al Gore";0;"";"";"";"";"";""
10;"Alan T. Waterman";0;"";"";"";"";"";""
11;"Albert L. Elder";0;"";"";"";"";"";""
12;"Alexander Walters";0;"";"";"";"";"";""
13;"Alfred Moore Waddell";0;"";"";"";"";"";""
14;"Allen C. Thompson";0;"";"";"";"";"";""
15;"Alonzo J. Ransier";0;"";"";"";"";"";""
16;"Amber Kudia";0;"";"";"";"";"";""
17;"Angela Davis";0;"";"";"";"";"";""
18;"Arthur W. Handy";0;"";"";"";"";"";""
19;"Asa Philip Randolph";0;"";"";"";"";"";""
20;"Atticus Greene Haygood";0;"";"";"";"";"";""
21;"B.T. Tanner";0;"";"";"";"";"";""
22;"Barack Obama";0;"";"";"";"";"";""
23;"Barbara Jordan";0;"";"";"";"";"";""
24;"Barbara Lee";0;"";"";"";"";"";""
25;"Barney Frank";0;"";"";"";"";"";""
26;"Bayard Rustin";0;"";"";"";"";"";""
27;"Benjamin E. Mays";0;"";"";"";"";"";""
28;"Benjamin Harvey Hill";0;"";"";"";"";"";""
29;"Benjamin Morgan Palmer";0;"";"";"";"";"";""
30;"Benjamin Ryan Tillman";0;"";"";"";"";"";""
31;"Black Hawk";0;"";"";"";"";"";""
32;"Blanche K. Bruce";0;"";"";"";"";"";""
33;"Brooksley Born";0;"";"";"";"";"";""
34;"Buell G. Gallagher";0;"";"";"";"";"";""
35;"Carey Daniel";0;"";"";"";"";"";""
36;"Carl Oglesby";0;"";"";"";"";"";""
37;"Chaim Herzog";0;"";"";"";"";"";""
38;"Charles de Gaulle";0;"";"";"";"";"";""
39;"Charles Evers";0;"";"";"";"";"";""
40;"Charles Sumner";0;"";"";"";"";"";""
41;"Chief Canasatego";0;"";"";"";"";"";""
42;"Chief Joseph";0;"";"";"";"";"";""
43;"Chief Pushmataha";0;"";"";"";"";"";""
44;"Chief Red Eagle";0;"";"";"";"";"";""
45;"Chief Red Jacket";0;"";"";"";"";"";""
46;"Chief Tecumseh";0;"";"";"";"";"";""
47;"Christian A. Fleetwood";0;"";"";"";"";"";""
48;"Chuck Hagel";0;"";"";"";"";"";""
49;"Clarence Darrow";0;"";"";"";"";"";""
50;"Clarence Thomas";0;"";"";"";"";"";""
51;"Clark Foreman";0;"";"";"";"";"";""
52;"Clifford Uyeda";0;"";"";"";"";"";""
53;"Daisy Bates";0;"";"";"";"";"";""
54;"Dale Cowling";0;"";"";"";"";"";""
55;"Daniel A. Payne";0;"";"";"";"";"";""
56;"Daniel Webster";0;"";"";"";"";"";""
57;"David J. McDonald";0;"";"";"";"";"";""
58;"David McKiernan";0;"";"";"";"";"";""
59;"David Petraeus";0;"";"";"";"";"";""
60;"Diane Nash";0;"";"";"";"";"";""
61;"Dick Gregory";0;"";"";"";"";"";""
62;"Donald W. Morgan";0;"";"";"";"";"";""
63;"Dorothy Day";0;"";"";"";"";"";""
64;"Douglas MacArthur";0;"";"";"";"";"";""
65;"Dwight D. Eisenhower";0;"";"";"";"";"";""
66;"Eamon de Valera";0;"";"";"";"";"";""
67;"Edward D. Eddy, Jr.";0;"";"";"";"";"";""
68;"Edward D. McGowan";0;"";"";"";"";"";""
69;"Edward W. Blyden";0;"";"";"";"";"";""
70;"Edward W. Brooke";0;"";"";"";"";"";""
71;"Eldridge Cleaver";0;"";"";"";"";"";""
72;"Eleanor Roosevelt";0;"";"";"";"";"";""
73;"Elijah Muhammad";0;"";"";"";"";"";""
74;"Elizabeth Cady Stanton";0;"";"";"";"";"";""
75;"Emmeline Pankhurst";0;"";"";"";"";"";""
76;"Emperor Akihito";0;"";"";"";"";"";""
77;"Emperor Hirohito";0;"";"";"";"";"";""
78;"Eugene Carson Blake";0;"";"";"";"";"";""
79;"Eugene J. McCarthy";0;"";"";"";"";"";""
80;"Eugene V. Debs";0;"";"";"";"";"";""
81;"F.W. de Klerk";0;"";"";"";"";"";""
82;"Fannie Lou Hamer";0;"";"";"";"";"";""
83;"Florence E. Allen";0;"";"";"";"";"";""
84;"Floyd Bixler McKissick";0;"";"";"";"";"";""
85;"Francis Hollande";0;"";"";"";"";"";""
86;"Francis Williams";0;"";"";"";"";"";""
87;"Frank R. Crosswaith";0;"";"";"";"";"";""
88;"Franklin Delano Roosevelt";0;"";"";"";"";"";""
89;"Franklin Kameny";0;"";"";"";"";"";""
90;"Frederick Douglass";0;"";"";"";"";"";""
91;"Gene R. La Rocque";0;"";"";"";"";"";""
92;"George C. Wallace";0;"";"";"";"";"";""
93;"George Edwin Taylor";0;"";"";"";"";"";""
94;"George H. White";0;"";"";"";"";"";""
95;"George H.W. Bush";0;"";"";"";"";"";""
96;"George L. Ruffin";0;"";"";"";"";"";""
97;"George S. Patton";0;"";"";"";"";"";""
98;"George W. Bush";0;"";"";"";"";"";""
99;"George William Cook";0;"";"";"";"";"";""
100;"Gerald R. Ford";0;"";"";"";"";"";""
101;"Golda Meir";0;"";"";"";"";"";""
102;"Gouverneur Morris";0;"";"";"";"";"";""
103;"Grover Cleveland";0;"";"";"";"";"";""
104;"H. Rap Brown";0;"";"";"";"";"";""
105;"Harry Charles David of Wales";0;"";"";"";"";"";""
106;"Harry M. Wyatt IIII";0;"";"";"";"";"";""
107;"Harry S. Truman";0;"";"";"";"";"";""
108;"Henry B. González";0;"";"";"";"";"";""
109;"Henry Highland Garnet";0;"";"";"";"";"";""
110;"Henry Van Dyke";0;"";"";"";"";"";""
111;"Henry Woodfin Grady";0;"";"";"";"";"";""
112;"Hillary R. Clinton";0;"";"";"";"";"";""
113;"Hiram R. Revels";0;"";"";"";"";"";""
114;"Howard ""Judge"""" Smith""";0;"";"";"";"";"";""
115;"Howard Thurman";0;"";"";"";"";"";""
116;"Hubert H. Harrison";0;"";"";"";"";"";""
117;"Hubert H. Humphrey";0;"";"";"";"";"";""
118;"Huey P. Long";0;"";"";"";"";"";""
119;"Huey P. Newton";0;"";"";"";"";"";""
120;"I.F. Stone";0;"";"";"";"";"";""
121;"Indira Gandhi";0;"";"";"";"";"";""
122;"Isaac Myers";0;"";"";"";"";"";""
123;"Isaiah C. Wears";0;"";"";"";"";"";""
124;"J. Milton Waldron";0;"";"";"";"";"";""
125;"J. Sella Martin";0;"";"";"";"";"";""
126;"J.P. Cambell";0;"";"";"";"";"";""
127;"J.P. Coleman";0;"";"";"";"";"";""
128;"James B. Comey";0;"";"";"";"";"";""
129;"James Blackburn";0;"";"";"";"";"";""
130;"James Clarence Harper";0;"";"";"";"";"";""
131;"James E. Holshouser, Jr.";0;"";"";"";"";"";""
132;"James E. Shepard";0;"";"";"";"";"";""
133;"James Francis Gregory";0;"";"";"";"";"";""
134;"James Hamilton, Jr.";0;"";"";"";"";"";""
135;"James Henry Hammong";0;"";"";"";"";"";""
136;"James L. Farmer";0;"";"";"";"";"";""
137;"James Lynch";0;"";"";"";"";"";""
138;"James M. Lawson Jr.";0;"";"";"";"";"";""
139;"James Mathews Griggs";0;"";"";"";"";"";""
140;"James O. Eastland";0;"";"";"";"";"";""
141;"James T. Rapier";0;"";"";"";"";"";""
142;"James W. Ford";0;"";"";"";"";"";""
143;"James W. Morgan";0;"";"";"";"";"";""
144;"James Weldon Johnson";0;"";"";"";"";"";""
145;"Jefferson Davis";0;"";"";"";"";"";""
146;"Jefferson F. Long";0;"";"";"";"";"";""
147;"Jesse Jackson";0;"";"";"";"";"";""
148;"Jesse Lawson";0;"";"";"";"";"";""
149;"Jessie Daniel Ames";0;"";"";"";"";"";""
150;"Jimmy Carter";0;"";"";"";"";"";""
151;"Joachim Prinz";0;"";"";"";"";"";""
152;"John Browne Russwurm";0;"";"";"";"";"";""
153;"John C. Calhoun";0;"";"";"";"";"";""
154;"John C. Dancy";0;"";"";"";"";"";""
155;"John Campbell";0;"";"";"";"";"";""
156;"John Carl West";0;"";"";"";"";"";""
157;"John Cotton";0;"";"";"";"";"";""
158;"John F. Kennedy";0;"";"";"";"";"";""
159;"John Hope";0;"";"";"";"";"";""
160;"John Hope Franklin";0;"";"";"";"";"";""
161;"John Mercer Langston";0;"";"";"";"";"";""
162;"John P. Green";0;"";"";"";"";"";""
163;"John Quincy Adams";0;"";"";"";"";"";""
164;"John R. Lynch";0;"";"";"";"";"";""
165;"John Robert Lewis";0;"";"";"";"";"";""
166;"Johnnetta B. Cole";0;"";"";"";"";"";""
167;"Jonathan C. Gibbs";0;"";"";"";"";"";""
168;"José Angel Gutiérrez";0;"";"";"";"";"";""
169;"Joseph H. Rainey";0;"";"";"";"";"";""
170;"Joseph Lowery";0;"";"";"";"";"";""
171;"Joseph M. Montoya";0;"";"";"";"";"";""
172;"Joseph Stalin";0;"";"";"";"";"";""
173;"Josephine St. Pierre Ruffin";0;"";"";"";"";"";""
174;"Joshua Giddings";0;"";"";"";"";"";""
175;"Julian Bond";0;"";"";"";"";"";""
176;"Julius J. Nodel";0;"";"";"";"";"";""
177;"Karla Jay";0;"";"";"";"";"";""
178;"Kate Middleton";0;"";"";"";"";"";""
179;"Keith Alexander";0;"";"";"";"";"";""
180;"Kelly Miller";0;"";"";"";"";"";""
181;"Kenneth B. Clark";0;"";"";"";"";"";""
182;"Khalid Abdul Muhammad";0;"";"";"";"";"";""
183;"King Charles I";0;"";"";"";"";"";""
184;"Kirstin Roberts";0;"";"";"";"";"";""
185;"Kweisi Mfume";0;"";"";"";"";"";""
186;"Lani Guinier";0;"";"";"";"";"";""
187;"Larry Kramer";0;"";"";"";"";"";""
188;"LeRoy Collins";0;"";"";"";"";"";""
189;"Lewis Hayden";0;"";"";"";"";"";""
190;"Lillian Smith";0;"";"";"";"";"";""
191;"Loretta Lynch";0;"";"";"";"";"";""
192;"Louis Farrakhan";0;"";"";"";"";"";""
193;"Lucius Quintus Cincinnatus Lamar";0;"";"";"";"";"";""
194;"Lyndon Baines Johnson";0;"";"";"";"";"";""
195;"Malcolm X";0;"";"";"";"";"";""
196;"Marcus Garvey";0;"";"";"";"";"";""
197;"Marian Wright Edelman";0;"";"";"";"";"";""
198;"Marion L. Matics";0;"";"";"";"";"";""
199;"Marion S. Barry, Jr.";0;"";"";"";"";"";""
200;"Mark Ethridge";0;"";"";"";"";"";""
201;"Martin Luther King, Jr.";0;"";"";"";"";"";""
202;"Martin Robinson Delany";0;"";"";"";"";"";""
203;"Mathew Hall Ahmann";0;"";"";"";"";"";""
204;"Medgar Evers";0;"";"";"";"";"";""
205;"Michelle Obama";0;"";"";"";"";"";""
206;"Mike Pence";0;"";"";"";"";"";""
207;"Mikhail Gorbachev";0;"";"";"";"";"";""
208;"Milton A. Galamison";0;"";"";"";"";"";""
209;"Napoleon Bonaparte";0;"";"";"";"";"";""
210;"Narendra Modi";0;"";"";"";"";"";""
