"sit_ID";"site";"site_type";"loc_ID";"loc"
1;"Oxford Union";"";3;"Oxford, England"
2;"South Carolina State House";"";9;"Columbia, SC"
3;"Cameron House";"";13;"Washington, D.C."
4;"Hungry Club Open Forum";"";19;"Atlanta, GA"
5;"Lincoln University";"";20;"Lincoln University, PA"
6;"Brown University";"";24;"Providence, RI"
7;"Fanueil Hall";"";28;"Boston, MA"
8;"Stuyvesant Institute";"";2;"New York City, NY"
9;"Cambridge University";"";32;"Cambridge, England"
10;"Carnegie Hall";"";2;"New York City, NY"
11;"Faneuil Hall";"";28;"Boston, MA"
12;"Bowdoin College";"";34;"Brunswich, ME"
13;"Tuskegee University";"";35;"Tuskegee, AL"
14;"Tuskegee Institute";"";35;"Tuskegee, AL"
15;"Harvard University";"";36;"Cambridge, MA"
16;"Paine College";"";37;"Augusta, GA"
17;"University of Utah";"";38;"Salt Lake City, UT"
18;"State University of Iowa";"";39;"Iowa City, IA"
19;"Howard University";"";13;"Washington, D.C."
20;"Stanford University";"";40;"Stanford, CA"
21;"North Tonawanda High School";"";41;"North Tonawanda, NY"
22;"Lincoln Monument";"";13;"Washington, D.C."
23;"Convention Hall";"";16;"Philadelphia, PA"
24;"Los Angeles Memorial Colliseum";"";26;"Los Angeles, CA"
25;"Madison Square Garden";"";2;"New York City, NY"
26;"Moscone Center";"";4;"San Francisco, CA"
27;"FleetCenter";"";28;"Boston, MA"
28;"Pepsi Center";"";5;"Denver, CO"
29;"United Center";"";10;"Chicago, IL"
30;"Wells Fargo Center";"";16;"Philadelphia, PA"
31;"Hotel Pennsylvania";"";2;"New York City, NY"
32;"City Hall";"";49;"Syracuse, NY"
33;"Dillard University";"";50;"New Orleans, LA"
34;"Church of Puritans";"";2;"New York City, NY"
35;"Holt Street Baptist Church";"";52;"Montgomery, AL"
36;"Shaw University";"";53;"Raleigh, NC"
37;"New York African Institution";"";2;"New York City, NY"
38;"St. Augustine's Episcopal Church";"";56;"Oakland, CA"
39;"Lebanon Cemetary";"";57;"Passyunk, PA"
40;"Bethel Church";"";10;"Chicago, IL"
41;"Second African Presbyterian Church";"";16;"Philadelphia, PA"
42;"University of Georgia";"";60;"Athens, GA"
43;"Louisiana State Capitol";"";62;"Baton Rouge, LA"
44;"Massey Hall";"";8;"Toronto, Canada"
45;"Scottish Rite Hall";"";2;"New York City, NY"
46;"Kansas State University";"";67;"Manhattan, KS"
47;"Apollo's Hall";"";2;"New York City, NY"
48;"National Mall";"";13;"Washington, D.C."
49;"Pratt Memorial Methodist Church";"";55;"Jackson, MS"
50;"Broadway Tabernacle";"";2;"New York City, NY"
51;"Douglass Institute";"";77;"Baltimore, MD"
52;"Lincoln Memorial";"";13;"Washington, D.C."
53;"Tomlinson Hall";"";82;"Indianapolis, IN"
54;"Music Hall";"";28;"Boston, MA"
55;"Columbia Township Auditorium";"";9;"Columbia, SC"
56;"Benedict College";"";9;"Columbia, SC"
57;"Georgetown University";"";13;"Washington, D.C."
58;"U.S. Capitol";"";13;"Washington, D.C."
59;"United Nations Headquarters";"";2;"New York City, NY"
60;"Lincoln Park";"";13;"Washington, D.C."
61;"University of California, Berkeley";"";93;"Berkeley, CA"
62;"Smith & Nixon's Hall";"";54;"Cincinnati, OH"
63;"Church of the Puritans";"";2;"New York City, NY"
64;"Courthouse";"";104;"Newton, MA"
65;"House of Parliament";"";102;"London, England"
66;"African Lodge at Menotomy, MA";"";112;"Menotomy, MA"
67;"African Church";"";2;"New York City, NY"
68;"Universalist Church";"";2;"New York City, NY"
69;"Park Street Church";"";28;"Boston, MA"
70;"Fontainebleau";"";21;"Paris, France"
71;"Congress Hall / Davis Hotel?";"";13;"Washington, D.C."
72;"Bunker Hill Monument";"";28;"Boston, MA"
73;"African Baptist Society";"";118;"Albany, NY"
74;"St. Philip's Episcopal Church";"";120;"New York City, New York"
75;"New Haven African Church";"";122;"New Haven, CT"
76;"Franklin Hall";"";28;"Boston, MA"
77;"African Masonic Hall";"";28;"Boston, MA"
78;"Presbyterian Church";"";123;"Whitesboro, NY"
79;"Representatives' Hall";"";28;"Boston, MA"
80;"Massachusetts State House";"";28;"Boston, MA"
81;"Private Residence";"";16;"Philadelphia, PA"
82;"Pennsylvania Hall";"";16;"Philadelphia, PA"
83;"Kentucky State Capitol";"";127;"Frankfort, KY"
84;"Finsbury Chapel";"";128;"Moorfields, England"
85;"Second Presbyterian Church";"";131;"Charleston, SC"
86;"Corinthian Hall";"";130;"Rochester, NY"
87;"Melodeon";"";28;"Boston, MA"
88;"New York State Capitol";"";118;"Albany, NY"
89;"Western Reserve College";"";14;"Cleveland, OH"
90;"California State Capitol";"";86;"Sacramento, CA"
91;"Southac Street Church";"";28;"Boston, MA"
92;"Tremont Temple";"";28;"Boston, MA"
93;"Cooper Union";"";2;"New York City, NY"
