"spe_ID";"spe_type";"spe_desc";"spe_subj";"spe_date";"per_ID";"person";"per_sec_ID";"person_sec";"loc_ID";"loc";"sit_ID";"site";"gat_ID";"gat";"org_spon_ID";"sponsor";"org_ID";"org_to";"public";"press";"radio";"tv";"video";"text";"source_list"
1;"interview";"A. B. Spellman Interviews Malcolm X";"";"1964-03-19";1;"Malcolm X";2;"A. B. Spellman";1;"unknown";0;"";0;"";0;"";0;"";0;0;0;0;"";"";"http://malcolmxfiles.blogspot.ca/2013/06/a-b-"
2;"interview";"Alex Haley Interviews Malcolm X";"";"1963-05-00";1;"Malcolm X";3;"Alex Haley";1;"unknown";0;"";0;"";0;"";0;"";0;0;0;0;"";"";"http://malcolmxfiles.blogspot.ca/2013/06/alex"
3;"debate";"Bayard Rustin Debate";"";"1960-11-00";1;"Malcolm X";4;"Bayard Rustin";2;"New York City, NY";0;"";0;"";0;"";1;"Station WRAI";0;0;0;0;"";"";"http://malcolmxfiles.blogspot.ca/2013/05/baya"
4;"interview";"Bernice Bass Interviews Malcolm X";"";"1964-12-27";1;"Malcolm X";5;"Bernice Bass";2;"New York City, NY";0;"";0;"";0;"";0;"";0;0;1;0;"";"";"http://malcolmxfiles.blogspot.ca/2013/07/bern"
5;"interview";"Claude Lewis Interviews Malcolm X";"";"1964-12-31";1;"Malcolm X";6;"Claude Lewis";2;"New York City, NY";0;"";0;"";0;"";0;"";0;0;0;0;"";"";"http://malcolmxfiles.blogspot.ca/2013/07/clau"
6;"debate";"Occupy Wall St. Debate";"";"2012-11-22";7;"Cornel West";8;"Daniel Hannan";3;"Oxford, England";1;"Oxford Union";0;"";0;"";2;"Oxford Union";0;0;0;0;"https://www.youtube.com/watch?v=CoWiV6Q8qME";"";"http://www.counterpunch.org/2012/11/30/an-int"
7;"interview";"Eleanor Fischer interviews Malcolm X";"";"1961-00-00";1;"Malcolm X";9;"Eleanor Fischer";1;"unknown";0;"";0;"";0;"";0;"";0;0;0;0;"";"";"http://malcolmxfiles.blogspot.ca/2013/05/elea"
8;"debate";"Harvey Milk vs. John Briggs";"";"1978-08-06";10;"Harvey Milk";11;"John Briggs";4;"San Francisco, CA";0;"";0;"";0;"";0;"";0;0;0;0;"";"";"http://www.jstor.org/stable/10.1525/j.ctt24hs"
9;"interview";"Les Crane Interviews Malcolm X";"";"1964-12-02";1;"Malcolm X";12;"Les Crane";2;"New York City, NY";0;"";0;"";0;"";0;"";0;0;0;1;"";"";"http://malcolmxfiles.blogspot.ca/2013/07/les-"
10;"interview";"Milton Henry Interviews Malcolm X";"";"1964-04-12";1;"Malcolm X";13;"Milton Henry";1;"unknown";0;"";0;"";0;"";0;"";0;0;0;0;"";"";"http://malcolmxfiles.blogspot.ca/2013/07/inte"
11;"debate";"First Presidential Debate";"";"2012-10-03";14;"Barack Obama";15;"Mitt Romney";5;"Denver, CO";0;"";0;"";0;"";3;"University of Denver";0;0;0;0;"";"";"http://www.americanrhetoric.com/speeches/obam"
12;"debate";"Second Presidential Debate";"";"2012-10-17";14;"Barack Obama";15;"Mitt Romney";6;"Hempstead, NY";0;"";0;"";0;"";4;"Hofstra University";0;0;0;1;"";"";"http://www.americanrhetoric.com/speeches/obam"
13;"debate";"Third Presidential Debate";"";"2012-10-23";14;"Barack Obama";15;"Mitt Romney";7;"Boca Raton, FL";0;"";0;"";0;"";5;"Lynn University";0;0;0;1;"";"";"http://www.americanrhetoric.com/speeches/obam"
14;"interview";"Pierre Berton interviews Malcolm X";"";"1965-01-19";1;"Malcolm X";16;"Pierre Berton";8;"Toronto, Canada";0;"";0;"";0;"";0;"";0;0;0;1;"";"";"http://malcolmxfiles.blogspot.ca/2013/07/pier"
15;"interview";"Robert Penn Warren Interviews Malcolm X";"";"1964-06-02";1;"Malcolm X";17;"Robert Penn";1;"unknown";0;"";0;"";0;"";0;"";0;0;0;0;"";"";"http://malcolmxfiles.blogspot.ca/2013/07/robe"
16;"interview";"Stan Bernard Interviews Malcolm X";"";"1965-02-18";1;"Malcolm X";18;"Stan Bernard";2;"New York City, NY";0;"";0;"";0;"";6;"Station WINS";0;0;1;0;"";"";"http://malcolmxfiles.blogspot.ca/2013/07/stan"
17;"speech";"125th Meeting of Public Land Grant Universiti";"";"2012-11-11";19;"Robert Gates";0;"";5;"Denver, CO";0;"";1;"125th Meeting of Public Land Grant Universiti";0;"";0;"";0;0;0;0;"";"";"http://www.americanrhetoric.com/speeches/robe"
18;"speech";"A Plea Against The Disenfranchisement of the ";"Suffrage";"1895-10-26";20;"Thomas E. Miller";0;"";9;"Columbia, SC";2;"South Carolina State House";2;"1895 Constitutional Convention";0;"";7;"SC Legislature";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
19;"speech";"I Pledge My Allegiance to the Poor and Oppres";"";"2005-07-03";21;"Camilo Mejía";0;"";10;"Chicago, IL";0;"";3;"2004 Socialism Conference";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books?id=ox91llFB5j4"
20;"speech";"Speech to the Socialism 2013 Conference";"Surveillance";"2013-06-27";22;"Glenn Greenwald";0;"";11;"Rosemont, IL";0;"";4;"2013 Socialism Conference";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books?id=ox91llFB5j4"
21;"speech";"2014 USA Black Hat Conference Keynote";"";"2014-08-06";23;"Dan Geer";0;"";12;"Las Vegas, NV";0;"";5;"2014 USA Black Hat Conference";0;"";8;"Black Hat Briefings";0;0;0;0;"";"";"http://geer.tinho.net/geer.blackhat.6viii14.t"
22;"speech";"I Denounce The So-Called Emancipation As A St";"Reconstruction";"1888-04-16";24;"Frederick Douglass";0;"";13;"Washington, D.C.";0;"";6;"26th Anniversary of Emancipation";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
23;"speech";"The Conspiracy To Deny Equality";"Brown v. Board of Education, Supreme Court";"1955-00-00";25;"Roy Wilkins";0;"";1;"unknown";0;"";7;"46th Annual Convention";0;"";9;"National Association for the Advancement of C";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
24;"speech";"Liberty for Slaves";"";"1857-05-13";26;"Frances Watkins Harper";0;"";2;"New York City, NY";0;"";8;"4th Anniverary of the New York City Anti-Slav";0;"";10;"New York Anti-Slavery Society";0;0;0;0;"";"";"https://books.google.com/books/about/Outspoke"
25;"speech";"It Is the Pulpit Who Casts Out 'Impure' Women";"Religion";"1853-10-06";27;"Abigail Kelley Foster";0;"";14;"Cleveland, OH";0;"";9;"4th Ohio Woman's Rights Conference";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/Outspoke"
26;"speech";"The Present Dilemma of the Negro";"Black Power";"1967-10-14";28;"Kenneth B. Clark";0;"";15;"Greensboro, NC";0;"";10;"52nd Annual Meeting";0;"";11;"Association for the Study of Negro Life and H";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
27;"speech";"Why Should Not Woman See to Be a Reformer?";"";"1854-10-18";29;"Lucretia Mott";0;"";16;"Philadelphia, PA";0;"";11;"5th National Woman's Rights Convention";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/Outspoke"
28;"speech";"The African Problem And The Methods Of Its So";"";"1890-01-19";30;"Edward W. Blyden";0;"";13;"Washington, D.C.";0;"";12;"73rd Anniversary of the American Colonization";0;"";12;"American Colonization Society";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
29;"speech";"These Evils Call Loudly For Redress";"Republican Party";"1884-05-00";31;"John P. Green";0;"";17;"Pittsburgh, PA";0;"";13;"A convening of Republican delegates";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
30;"speech";"Race Unity";"";"1879-05-06";32;"Ferdinand L. Barnett";0;"";18;"Nashville, TN";0;"";14;"A national conference of colored men";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
